,When
1042,M W - 9:35A - 10:50A
1043,T R - 12:45P - 2:00P
1044,M W - 2:20P - 3:35P
1045,M W - 2:20P - 3:35P
1046,M W - 2:20P - 3:35P
1047,T R - 11:10A - 12:25P
1048,T R - 11:10A - 12:25P
1049,T R - 11:10A - 12:25P
1050,T R - 11:10A - 12:25P
1051,T R - 12:45P - 2:00P
1052,T R - 2:20P - 3:35P
1053,M W - 2:30P - 3:20P
1054,T R - 2:20P - 3:35P
1055,T R - 9:35A - 10:50A
1056,M W - 2:20P - 3:35P
1057,M W - 2:20P - 3:35P
1058,R - 3:55P - 6:45P
1059,T R - 11:10A - 12:25P
1060,M W - 12:45P - 2:00P
1061,M W - 12:45P - 2:00P
1062,T R - 11:10A - 12:25P
1063,T R - 11:10A - 12:25P
1064,T R - 9:35A - 10:50A
1065,T R - 9:35A - 10:50A
1066,M W - 11:10A - 12:25P
1067,M W - 11:10A - 12:25P
1068,M W - 2:00P - 3:00P
1069,TBA
1070,M W - 12:45P - 2:00P
1071,T R - 2:00P - 3:00P
1072,(01) M T W R - 1:00P - 2:00P(11) M T W R - 2:15P - 3:15P(21) M T W R - 3:30P - 4:30P
1073,(01) M T W R - 3:30P - 4:30P(11) M T W R - 1:00P - 2:00P(21) M T W R - 2:15P - 3:15P
1074,(01) M T W R - 2:15P - 3:15P(11) M T W R - 3:30P - 4:30P(21) M T W R - 1:00P - 2:00P
1075,(01) M T W R - 1:00P - 2:00P(11) M T W R - 3:30P - 4:30P(21) M T W R - 2:15P - 3:15P
1076,T R - 11:00A - 12:15P
1077,T R - 11:00A - 12:15P
1078,T R - 11:00A - 12:15P
1079,M W - 3:55P - 5:10P
1080,M W - 3:55P - 5:10P
1081,M W - 1:00P - 2:00P
1082,M W - 2:30P - 3:20P
1083,M W - 2:30P - 3:20P
1084,M W - 2:00P - 3:00P
1085,W F - 3:00P - 5:00P
1086,TBA
1087,F - 10:25A - 11:15A
1088,F - 11:40A - 12:30P
1089,M W - 9:35A - 10:50A
1090,M W - 2:20P - 3:35P
1091,T R - 9:35A - 10:50A
1092,M W - 8:00A - 9:15A
1093,M W - 2:20P - 3:35P
1094,M W - 2:20P - 3:35P
1095,M W - 9:35A - 10:50A
1096,T R - 9:35A - 10:50A
1097,M W - 2:20P - 3:35P
1098,TBA
1099,M W - 2:20P - 3:35P
1100,T R - 9:35A - 10:50A
1101,M W - 11:10A - 12:25P
1102,TBA
1103,M W - 2:20P - 3:35P
1104,TBA
1105,TBA
1106,TBA
1107,TBA
1108,TBA
1109,TBA
1110,TBA
1111,TBA
1112,F - 1:00P - 1:50P
1113,T - 9:45A - 12:30P
1114,TBA
1115,TBA
1116,TBA
1117,M W - 2:30P - 3:20P
1118,M - 9:30A - 12:00P
1119,TBA
1120,TBA
1121,TBA
1122,TBA
1123,TBA
1124,TBA
1125,TBA
1126,TBA
1127,TBA
1128,TBA
1129,TBA
1130,TBA
1131,TBA
1132,TBA
1133,TBA
1134,TBA
1135,TBA
1136,TBA
1137,TBA
1138,TBA
1139,TBA
1140,TBA
1141,M W - 11:10A - 12:25P
1142,M - 3:30P - 6:00P
1143,T - 9:30A - 12:00P
